From ERCOT historic data.  No screening or filtering applied.  Data looks good though from basic time series plot (2019),,,,
There is 1 hour of missing demand (2016,11,7,6) which is filled with linear interpolation,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2018,1,20,9,33874.796641
2018,1,20,10,33606.161714
2018,1,20,11,33710.085251
2018,1,20,12,34548.28538
2018,1,20,13,35963.225660000004
2018,1,20,14,37253.527838
2018,1,20,15,38026.102672
2018,1,20,16,38327.804844
2018,1,20,17,37754.855358
2018,1,20,18,36753.463732
2018,1,20,19,35601.674893
2018,1,20,20,34696.065475
2018,1,20,21,33976.533778
2018,1,20,22,33534.312614999995
2018,1,20,23,33509.274262
2018,1,20,24,34074.777999
2018,1,21,1,35822.899767
2018,1,21,2,35884.394843
2018,1,21,3,35303.49082
2018,1,21,4,34590.44282
2018,1,21,5,33262.745301
2018,1,21,6,31667.005158
2018,1,21,7,30172.659943000002
2018,1,21,8,29093.765949
2018,1,21,9,28380.772225999997
2018,1,21,10,27977.210433999997
2018,1,21,11,27894.107669
2018,1,21,12,28241.038056
2018,1,21,13,29060.184146
2018,1,21,14,30005.057119999998
2018,1,21,15,31210.171668
2018,1,21,16,32473.396138
2018,1,21,17,33312.511516000006
2018,1,21,18,33921.549274000005
2018,1,21,19,34240.576519
2018,1,21,20,34323.250573000005
2018,1,21,21,34126.986855
2018,1,21,22,33987.499252999994
2018,1,21,23,34141.988318
2018,1,21,24,35251.767117
2018,1,22,1,36863.616323
2018,1,22,2,37104.818918
2018,1,22,3,36456.807505000004
2018,1,22,4,35146.585417
2018,1,22,5,33083.560895
2018,1,22,6,30981.762519
2018,1,22,7,29455.500829
2018,1,22,8,28712.144645
2018,1,22,9,28548.471843
2018,1,22,10,28981.65992
2018,1,22,11,30279.139231999998
2018,1,22,12,33123.199070999995
2018,1,22,13,37629.022313
2018,1,22,14,39655.786589999996
2018,1,22,15,39082.905082
2018,1,22,16,38671.969575999996
2018,1,22,17,38442.612331
2018,1,22,18,37940.599689999995
2018,1,22,19,37298.848108
2018,1,22,20,36739.783972000005
2018,1,22,21,36116.197788
2018,1,22,22,35662.159099000004
2018,1,22,23,35722.613547
2018,1,22,24,36845.317312
2018,1,23,1,39658.804776
2018,1,23,2,40504.205301
2018,1,23,3,40526.2278
2018,1,23,4,39735.472968
2018,1,23,5,37921.400726
2018,1,23,6,36198.636102
2018,1,23,7,35331.054353
2018,1,23,8,35230.905854000004
2018,1,23,9,35576.34535
2018,1,23,10,36296.892102
2018,1,23,11,38005.262894
2018,1,23,12,41529.619002
2018,1,23,13,46462.860789
2018,1,23,14,48283.172695
2018,1,23,15,46687.971591
2018,1,23,16,44296.430755
2018,1,23,17,42006.911268
2018,1,23,18,40003.802119
2018,1,23,19,38196.527442
2018,1,23,20,36980.362543
2018,1,23,21,36059.089169
2018,1,23,22,35473.466531
2018,1,23,23,35704.567142
2018,1,23,24,37001.608785000004
2018,1,24,1,40024.439123000004
2018,1,24,2,41059.684223000004
2018,1,24,3,41372.434983
2018,1,24,4,40780.148607999996
2018,1,24,5,39130.802022
2018,1,24,6,37500.893265
2018,1,24,7,36884.247838999996
2018,1,24,8,36946.179896
2018,1,24,9,37269.056022000004
2018,1,24,10,38185.1559
2018,1,24,11,39832.327464999995
2018,1,24,12,43196.659419
2018,1,24,13,48019.64966
2018,1,24,14,49528.430868
2018,1,24,15,47491.785551
2018,1,24,16,44706.9951
2018,1,24,17,42197.85397
2018,1,24,18,40106.375763
2018,1,24,19,38341.728964
2018,1,24,20,37122.860310000004
2018,1,24,21,36136.953202
2018,1,24,22,35493.720899
2018,1,24,23,35552.480804
2018,1,24,24,36487.038702
2018,1,25,1,39411.245812
2018,1,25,2,40532.11675
2018,1,25,3,40957.720015
2018,1,25,4,40536.070356000004
2018,1,25,5,38998.752217
2018,1,25,6,37525.458909
2018,1,25,7,36756.431012
2018,1,25,8,36748.906263
2018,1,25,9,37130.857126
2018,1,25,10,37992.085072
2018,1,25,11,39663.213437
2018,1,25,12,43204.451476
2018,1,25,13,48007.906073
2018,1,25,14,49418.009134
2018,1,25,15,47355.914188
2018,1,25,16,44650.272918
2018,1,25,17,42422.105755000004
2018,1,25,18,40508.899637
2018,1,25,19,39014.01199
2018,1,25,20,37925.817377
2018,1,25,21,37131.537643
2018,1,25,22,36698.740906
2018,1,25,23,36984.430149
2018,1,25,24,38258.092507
2018,1,26,1,40723.162223
2018,1,26,2,41295.98403
2018,1,26,3,41008.968794
2018,1,26,4,39737.693191000006
2018,1,26,5,37246.753663999996
2018,1,26,6,35133.528373
2018,1,26,7,33770.182058
2018,1,26,8,33093.248357
2018,1,26,9,32761.254386
2018,1,26,10,32865.908738
2018,1,26,11,33629.388005
2018,1,26,12,35965.006543999996
2018,1,26,13,39699.112336
2018,1,26,14,40868.635999
2018,1,26,15,40322.236508999995
2018,1,26,16,40080.586102999994
2018,1,26,17,39625.223267
2018,1,26,18,38759.974124
2018,1,26,19,37961.143426
2018,1,26,20,37312.852116
2018,1,26,21,36593.333051
2018,1,26,22,36069.623303
2018,1,26,23,36023.582125
2018,1,26,24,36528.763137
2018,1,27,1,37556.170777
2018,1,27,2,37131.116507
2018,1,27,3,36412.381942
2018,1,27,4,35276.697670999994
2018,1,27,5,33653.022946
2018,1,27,6,31706.276651
2018,1,27,7,30104.660173
2018,1,27,8,29049.745891000002
2018,1,27,9,28360.568979000003
2018,1,27,10,28185.465192000003
2018,1,27,11,28312.050116000002
2018,1,27,12,28942.728081
2018,1,27,13,30326.300097000003
2018,1,27,14,31916.842461
2018,1,27,15,33320.459597
2018,1,27,16,34583.361145999996
2018,1,27,17,35303.842287
2018,1,27,18,35436.911174
2018,1,27,19,35064.563644
2018,1,27,20,34366.178011
2018,1,27,21,33667.012158
2018,1,27,22,33305.479844
2018,1,27,23,33191.454522
2018,1,27,24,33819.407111
2018,1,28,1,35405.958255
2018,1,28,2,35543.581323
2018,1,28,3,35208.146018
2018,1,28,4,34538.829299000005
2018,1,28,5,33547.174797
2018,1,28,6,32329.752725
2018,1,28,7,31262.054769
2018,1,28,8,30610.519752999997
2018,1,28,9,30349.812402
2018,1,28,10,30430.604677
2018,1,28,11,30913.472506000002
2018,1,28,12,31796.418191000004
2018,1,28,13,33279.721162
