Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,solar capacity
2018,1,16,8,0
2018,1,16,9,0
2018,1,16,10,0
2018,1,16,11,0
2018,1,16,12,0
2018,1,16,13,0
2018,1,16,14,0
2018,1,16,15,0.257693686
2018,1,16,16,0.565784782
2018,1,16,17,0.635669799
2018,1,16,18,0.623547004
2018,1,16,19,0.594300587
2018,1,16,20,0.57948785
2018,1,16,21,0.586583009
2018,1,16,22,0.608901493
2018,1,16,23,0.49775558
2018,1,16,24,0.099510571
2018,1,17,1,0
2018,1,17,2,0
2018,1,17,3,0
2018,1,17,4,0
2018,1,17,5,0
2018,1,17,6,0
2018,1,17,7,0
2018,1,17,8,0
2018,1,17,9,0
2018,1,17,10,0
2018,1,17,11,0
2018,1,17,12,0
2018,1,17,13,0
2018,1,17,14,0
2018,1,17,15,0.367105656
2018,1,17,16,0.70896687
2018,1,17,17,0.741953851
2018,1,17,18,0.688640112
2018,1,17,19,0.657020418
2018,1,17,20,0.645205136
2018,1,17,21,0.643847417
2018,1,17,22,0.628718084
2018,1,17,23,0.468117363
2018,1,17,24,0.070705018
2018,1,18,1,0
2018,1,18,2,0
2018,1,18,3,0
2018,1,18,4,0
2018,1,18,5,0
2018,1,18,6,0
2018,1,18,7,0
2018,1,18,8,0
2018,1,18,9,0
2018,1,18,10,0
2018,1,18,11,0
2018,1,18,12,0
2018,1,18,13,0
2018,1,18,14,0
2018,1,18,15,0.294246309
2018,1,18,16,0.636505048
2018,1,18,17,0.695832677
2018,1,18,18,0.673281608
2018,1,18,19,0.649383842
2018,1,18,20,0.651791071
2018,1,18,21,0.676284415
2018,1,18,22,0.710162855
2018,1,18,23,0.6028362
2018,1,18,24,0.131111669
2018,1,19,1,0
2018,1,19,2,0
2018,1,19,3,0
2018,1,19,4,0
2018,1,19,5,0
2018,1,19,6,0
2018,1,19,7,0
2018,1,19,8,0
2018,1,19,9,0
2018,1,19,10,0
2018,1,19,11,0
2018,1,19,12,0
2018,1,19,13,0
2018,1,19,14,0
2018,1,19,15,0.32699991
2018,1,19,16,0.727208107
2018,1,19,17,0.71093538
2018,1,19,18,0.675204821
2018,1,19,19,0.648733831
2018,1,19,20,0.645893683
2018,1,19,21,0.658130712
2018,1,19,22,0.694740026
2018,1,19,23,0.60135938
2018,1,19,24,0.133168556
2018,1,20,1,0
2018,1,20,2,0
2018,1,20,3,0
2018,1,20,4,0
2018,1,20,5,0
2018,1,20,6,0
2018,1,20,7,0
2018,1,20,8,0
2018,1,20,9,0
2018,1,20,10,0
2018,1,20,11,0
2018,1,20,12,0
2018,1,20,13,0
2018,1,20,14,3.32E-06
2018,1,20,15,0.335123757
2018,1,20,16,0.701184627
2018,1,20,17,0.707111742
2018,1,20,18,0.657492459
2018,1,20,19,0.630492807
2018,1,20,20,0.62900785
2018,1,20,21,0.644648938
2018,1,20,22,0.684290058
2018,1,20,23,0.585986404
2018,1,20,24,0.135180602
2018,1,21,1,0
2018,1,21,2,0
2018,1,21,3,0
2018,1,21,4,0
2018,1,21,5,0
2018,1,21,6,0
2018,1,21,7,0
2018,1,21,8,0
2018,1,21,9,0
2018,1,21,10,0
2018,1,21,11,0
2018,1,21,12,0
2018,1,21,13,0
2018,1,21,14,7.12E-06
2018,1,21,15,0.351606402
2018,1,21,16,0.699589457
2018,1,21,17,0.712409622
2018,1,21,18,0.679433178
2018,1,21,19,0.660510151
2018,1,21,20,0.661151951
